municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 10:00:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 10:10:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 10:20:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 10:30:00.0;2,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 10:40:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 10:50:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 11:00:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 11:10:00.0;1,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 11:20:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 11:30:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 11:40:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 11:50:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 12:00:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 12:10:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 12:20:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 12:30:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 12:40:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 12:50:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 13:00:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 13:10:00.0;1,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 13:20:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 13:30:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 13:40:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 13:50:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 14:00:00.0;1,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 14:10:00.0;0,60
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 14:20:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 14:30:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 14:40:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 14:50:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 15:00:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 15:20:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 15:30:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 15:50:00.0;0,20
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 16:20:00.0;0,00
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 17:10:00.0;0,40
CRICIÚMA;420460803A;SC;Vila Francesa;-28,67498;-49,41612;2023-07-12 17:20:00.0;0,80
